@relation 'AMP_TestSet-weka.filters.unsupervised.attribute.NumericToNominal-R7,12-weka.filters.unsupervised.attribute.ClassAssigner-Clast'

@attribute FULL_Charge numeric
@attribute FULL_AcidicMolPerc numeric
@attribute FULL_AURR980107 numeric
@attribute FULL_DAYM780201 numeric
@attribute FULL_GEOR030101 numeric
@attribute FULL_OOBM850104 numeric
@attribute NT_EFC195 {0,1}
@attribute AS_MeanAmphiMoment numeric
@attribute AS_DAYM780201 numeric
@attribute AS_FUKS010112 numeric
@attribute CT_RACS820104 numeric
@attribute CLASS {0,1}

@data
4,3.704,0.873,73.519,0.987,-4.833,0,0.382,74.556,7.225,1.234,1
4,4.444,0.892,62.444,0.931,-0.584,0,0.32,56.056,4.942,1.853,1
2,0,0.901,47,1.039,-5.664,0,0.164,47,5.969,1.174,1
4.5,0,0.869,69.222,0.982,-5.423,0,2.01,69.222,5.462,1.138,1
-4,21.591,1.061,71.682,0.976,-2.002,0,2.758,66,5.582,1.453,1
4.5,6.977,0.895,68.512,0.95,-1.878,0,3.09,72,5.779,1.844,1
12,3.175,1.022,74.46,1.01,-3.225,0,3.172,76.722,5.664,1.215,1
1.5,3.704,0.932,69.519,0.977,-2.509,0,2.543,72,4.251,1.56,1
3,3.333,0.903,59.5,0.963,-1.682,0,2.99,66,5.175,1.514,1
4,0,0.873,72.792,0.998,-4.943,0,2.985,77.444,5.626,1.621,1
11,8.219,0.927,75.068,0.989,-3.118,0,3.493,76.389,6.047,1.126,1
4.5,2.703,0.966,69.757,0.972,-3.896,1,3.714,76.444,5.492,1.445,1
0,11.538,1.027,77.923,0.981,-3.954,1,3.679,78.056,7.222,1.054,1
6,3.333,1.114,79.1,1.024,-2.437,0,3.988,75.556,6.667,1.079,1
0,0,1.005,78.971,1.102,1.544,0,4.143,78.556,4.472,1.28,1
3,6.061,0.897,76.455,0.955,-4.032,1,4.31,81.222,6.207,1.506,1
3,2.128,0.889,64.064,1,0.583,0,4.097,74.667,5.097,1.302,1
