"FULL_Charge","FULL_AcidicMolPerc","FULL_AURR980107","FULL_DAYM780201","FULL_GEOR030101","FULL_OOBM850104","NT_EFC195","AS_MeanAmphiMoment","AS_DAYM780201","AS_FUKS010112","CT_RACS820104","CLASS"
5,0,0.951,74.842,0.975,-3.663,0,0.282,73.444,5.661,1.041,1
4,5.405,0.931,71.595,0.957,-4.011,1,0.6,68.222,6.537,1.453,1
5.5,5.405,0.873,73.595,0.961,-2.512,0,0.593,69.444,4.934,1.722,1
5,4.167,0.895,66.25,0.999,-1.362,0,0.614,67.222,4.316,1.382,1
7.5,8.537,0.932,64.72,0.979,-2.091,0,0.616,72.944,4.54,1.539,1
5,7.692,1.03,78.949,0.976,-3.091,1,0.511,78.778,5.992,1.091,1
3,6.897,0.93,78.586,0.957,-3.544,1,0.385,78.222,6.284,1.467,1
2,5.882,0.868,76.588,0.949,-5.832,0,0.154,76.588,6.479,1.086,1
7,2.632,0.857,60.447,1.012,-0.292,0,0.188,64.333,3.849,1.925,1
9,0,0.911,65.808,1.049,-3.888,0,0.361,63.222,6.327,1.216,1
2,3.448,0.991,71.172,0.99,-3.712,0,0.51,76.389,5.402,1.285,1
2.5,0,0.96,60.579,0.998,-1.361,0,0.163,61.667,5.627,1.055,1
3,0,0.848,70.875,0.967,-3.603,1,0.263,71.611,6.804,1.029,1
3,7.143,0.885,71.357,0.955,-4.33,1,0.232,72.778,6.726,1.445,1
2.5,7.692,0.953,60.769,1.021,-3.641,0,0.402,60.769,7.112,1.028,1
6,4.348,0.842,67.87,0.98,-1.432,0,0.187,65.167,5.238,1.438,1
2,0,0.838,73.842,0.99,-4.928,0,0.536,75.667,6.996,1.071,1
4,0,0.89,64.083,0.993,-4.977,0,0.826,65.944,6.038,1.442,1
4.5,11.111,1.032,77.185,1.02,-0.694,0,1.1,78.444,6.141,1.334,1
2,4.167,0.925,68.667,0.997,-3.127,0,1.21,66.944,6.149,1.165,1
2,6.667,0.955,68.233,0.961,-3.327,0,1.304,73.5,6.604,1.392,1
3,10.345,1.072,72,0.974,-4.704,0,1.726,61.056,5.722,0.89,1
3.5,2.703,0.986,72.919,0.967,-3.628,1,1.717,70.833,6.669,1.445,1
1,0,0.845,52.769,1.037,-4.658,0,2.834,52.769,7.426,1.024,1
1,0,0.838,63.231,1.048,-4.06,0,2.98,63.231,6.942,1.132,1
5.5,4.348,0.96,58.913,0.994,-4.756,0,2.138,63.444,7.546,0.979,1
